GUID,ELAPSED_TIME,Reading Email,Frequency of Exercise,Freq of Hair Wash,Allergies,Socks or Pants First?,Assign Groups?, Linear algebra?,Six fingers?,First Compiler,Favorite namespace color?,Hair Color?,Hair Length,Eye Color?,namespace colors?,StarWars,Bear,Sport1,WatchHand,Sport2,Music,School Club,Life The Universe and Everything,Computer Name?,Air Shield Combination,Swallow_Speed,Pill Color,FavCookie,FavIceCream,MostFavTopping,LeastFavTopping,FavProgLang,SchoolWoman,SleepA,BreakFastDrink,SleepB,SleepC,log2(1024),"Loaded Question:
American Football and Cricket?","Cup
Orientation",Peanut Allergy?,Corn Allergy?,Elevator Use?,left or right handed?,lift eyebrow?,Vulcan sign,Wiggle ears?,Wiggle ears independently?,Watch hand?,staircase foot?,shirt color?,Eggs,Juggle balls,Harry Potter,Rocky Horror Picture Show,Ride bike?,Drive car?,Fly airplane?,Parachute?,Shave or Razor?,Shave Frequency,Dressed up?,Men's Tie,"French
Braid?",Snack Food,Water intake,Glasses?,Diapers?,Hearing issues?,Vision,Toilet Roll,Pet,Dog,Cat,Rat,Turtle,Snake,Ferret,Music,Baking,Wood working,Sewing,Gardening,Photography,Building electronics?,boats?,Doll houses,Making engines?,Miniatures,Raising chickens,Horse riding,Teaching others,Helping children,Card games,Computer games,Watching movies,Poetry,Shop
592,38,"On a smart phone at first, then on a laptop or full sized computer.",4,4-Mar," Yes, hey fever and typical allergies?",socks before pants,no,TRUE,FALSE,Grace Murray Hopper,Red,Black,Less then six inches (15 cm).,Brown,12,force,pooh,soccer,The second hand,chess,none,space exploration,42,deep thought,12345,24 mph,red,I don't like cookies. They are crumby.,green tea,Pineapples,Mushrooms could be poisonous!!,PERL,Malala Yousafzai,6,tea,6,7,10,More than average,Mouth down,no,No," the stairs are always faster.""",right,yes,yes,no,no,don't know,ambidextrous,red,Scrambled,no,good,no,no,yes,yes,yes,no,Shave? Never touch the stuff!,No,Yes - Full Windsor,No,Tortilla chips,5 to 8, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes
1036,48,"On a smart phone at first, then on a laptop or full sized computer.",1,7," Yes, hey fever and typical allergies?",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Brown,Black,10 to 15.7 inches (25cm to 40cm),Brown,12,force,Pooh,Basketball,The second hand,Run,none,none,42,deep thought,12345,20.1 mph,red pill,I prefer not to answer.,matcha,Pineapples,Spinach,PASCAL,Malala Yousafzai,8,coffee,10,8,10,Not at all,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,left,left,blue,Omlette,no,good,no,no,yes,yes,no,no,Shave? Never touch the stuff!,No,Yes - Half Windsor, of course. Everybody can do that!,Tortilla chips,1 to 2, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no
1009,24,"On a smart phone at first, then on a laptop or full sized computer.",1,4-Mar," No, never touch the stuff.",pants before socks,no,TRUE,FALSE,Grace Murray Hopper,Orange,Brown,Less then six inches (15 cm).,Green,12,Force,Pooh,Tennis and Soccer with Tennis being the main sport.,The second hand,none,Flute,none,42,deep thought,12345,What do you mean? African or European Swallow?,red,Macadamia nut,Reese's,Mushrooms,Shrimp (it is a bottom eater) ,JavaScript,Malala Yousafzai,6.5,water,6.5,6,10,Not at all,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,right,don't know,gray,Omlette,no,good,yes,yes,no,yes,no,no,Once a week,Yes,Yes - Half Windsor,No,Tortilla chips,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
1487,43,"On a smart phone at first, then on a laptop or full sized computer.",4,2," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Magenta (i.e. Purple),Black,Less then six inches (15 cm).,Brown,12,force,pooh,Cricket,The second hand,Badminton,none,game club,42,deep thought,12345,24 miles per hour,red pill,Macadamia nut,dark chocolate,No topping.  Just cheese.,Plain cheese,JavaScript,Malala Yousafzai,7,water,7,7,10,About average,Mouth down,no,No," the stairs are always faster.""",right,yes,yes,yes,yes,left,right,black,Omlette,yes,good,no,no,yes,yes,no,no,Once a week,Yes,Ties? Never touch the stuff.,No,Tortilla chips,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
1744,21.00000001,"On a smart phone at first, then on a laptop or full sized computer.",3,6-May," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Black,Less then six inches (15 cm).,Brown,12,force,Pooh,Ultimate Frisbee,The second hand,none,none,DECA,42,deep thought,12345,African or European?,the red pill,Macadamia nut,cookies n creme,Pepperoni,Anchovies (fish),JavaScript,Malala Yousafzai,7,water,7,7,10,A lot more than average,Mouth up,no,No,I usually ride the elevator.,right,no,yes,yes,no,left,don't know,white,Omlette,no,good,yes,yes,yes,yes,no,no,Twice a week,Yes,Yes - Half Windsor,No,Tortilla chips,5 to 8, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes
1352,42,"On a smart phone at first, then on a laptop or full sized computer.",3,4-Mar," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Black,Black,10 to 15.7 inches (25cm to 40cm),Green,12,force,Pooh,Cricket,The second hand,Badminton,None,math club,42,deep thought,1-2-3-4-5,24 miles per hour,red pill,Oatmeal raisin,mango,Mushrooms,Pineapples (not really apples),JavaScript,Malala Yousafzai,7,coffee,7,6,10,More than average,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,left,right,pink,Omlette,no,good,yes,no,yes,yes,no,no,Shave? Never touch the stuff!,Yes,Ties? Never touch the stuff.,No,Tortilla chips,5 to 8, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,no,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes
1037,32.99999999,"On a smart phone at first, then on a laptop or full sized computer.",5,2," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Black,Less then six inches (15 cm).,Black,12,force,pooh,cricket,The second hand,carrom,none,none,42,Deep Thought,12345,20.1 mph,red pill,Oatmeal raisin,vanilla,No topping. Just cheese.,Spinach,JavaScript,Malala Yousafzai,6,coffee,6,6,10,A lot more than average,Mouth up,no,No," the stairs are always faster.""",right,no,yes,no,no,left,right,blue,Eggs? Never touch the stuff.,yes,good,no,no,yes,yes,no,no,Once a week,Yes,Yes - Half Windsor,No,Tortilla chips,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
1690,38.00000001,"On a smart phone at first, then on a laptop or full sized computer.",1,More than Seven," Yes, hey fever and typical allergies?",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Brown,Less then six inches (15 cm).,Brown,12,force,Pooh,Soccer (Football),The second hand,none,Piano,Music Club,42,deep thought,12345,African or European?,the red pill,Oatmeal raisin,French vanilla,Olives,Onions (often cause indigestion),JavaScript,Malala Yousafzai,8,water,8,8,10,Not at all,Mouth up,no,No,I usually ride the elevator.,right,no,yes,no,no,don't know,right,black,Fried,no,good,yes,no,yes,yes,no,yes,Twice a week,Yes,Yes - Half Windsor,No,Popcorn,5 to 8, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes
1058,28.00000001,"On a smart phone at first, then on a laptop or full sized computer.",1,1," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Brown,Six to 10 inches (15cm to 25cm),Brown,12,force,pooh,none,The second hand,table tennis,none,NCC,42,deep thought,12345,24mph,red,Oatmeal raisin,butterscotch,Onions,Spinach,JavaScript,Malala Yousafzai,6,water,7,6.5,10,Somewhat,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,left,right,black,Eggs? Never touch the stuff.,no,good,yes,no,yes,yes,no,no,Shave? Never touch the stuff!,Yes,Yes - Full Windsor,No,Tortilla chips,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes
1574,32,"On a smart phone at first, then on a laptop or full sized computer.",2,1," Yes, perfumes, scents, and soaps.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Gray,Black,Less then six inches (15 cm).,Black,12,force,pooh,NetBall,The second hand,Table Tennis,none,science experiments club,42,deep thought,12345,10,red,Oatmeal raisin,cookie dough,Peppers or Sweet Peppers,Hamburger or Sausage,JavaScript,Malala Yousafzai,7,tea,7,7,10,About average,Mouth down,no,No,I usually ride the elevator.,right,no,yes,no,no,left,ambidextrous,gray,Eggs? Never touch the stuff.,no,good,no,no,yes,yes,no,no,Once a week,No,Ties? Never touch the stuff.,No,Tortilla chips,5 to 8, not yet, not yet, not yet," I have perfect vision, so far.",out over the front,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no
1005,26,Only on a laptop or full sized computer.,3,7," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Black,Less then six inches (15 cm).,Black,12,force,Winney the Pooh,None,The second hand,None,none,Art Work Club,42,deep thought,12345,What do you mean by African or European swallow?,Red,Peanut butter,Vanilla,Onions,Pineapples (not really apples),JavaScript,Malala Yousafzai,6,milk,6,6,10,About average,Mouth up,no,No,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,no,good,yes,no,no,yes,no,no,Twice a week,Yes,Yes - Full Windsor,No,Tortilla chips,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the back,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes
1730,39,"On a smart phone at first, then on a laptop or full sized computer.",4,4-Mar," No, never touch the stuff.",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Black,Less then six inches (15 cm).,Black,12,Force,Pooh,Softball,The second hand,Badminton,Bongo,none,42,deep thought,12345,~24 mph,Red pill,Sugar cookies,Chocolate,Mushrooms,Pineapples (not really apples),Ruby,Malala Yousafzai,7,milk,7,7,10,More than average,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,left,right,gray,Omlette,yes,good,no,no,yes,no,no,no,Once a week,Yes,Yes - Full Windsor,No,Tortilla chips,3 to 4,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no
546,26.99999999,"On a smart phone at first, then on a laptop or full sized computer.",7,4-Mar," Yes, hey fever and typical allergies?",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Blue,Black,Less then six inches (15 cm).,Black,12,force,pooh,None,The second hand,none,none,none,42,deep thought,12345,11 meters per second,red,Double chocolate,Chocolate,Olives,Pineapples (not really apples),JavaScript,Malala Yousafzai,8,tea,8,8,10,Somewhat,Mouth down,no,No," the stairs are always faster.""",right,yes,yes,no,no,left,ambidextrous,gray,Omlette,no,good,no,no,yes,yes,no,no,Once a week,Yes,Yes - Full Windsor,No,Tortilla chips,3 to 4,Yes., not yet, not yet,I use corrective lenses or contacts,out over the back,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes
642,33,"On a smart phone at first, then on a laptop or full sized computer.",4,7," Yes, hey fever and typical allergies?",pants before socks,yes,TRUE,FALSE,Grace Murray Hopper,Black,Black,Six to 10 inches (15cm to 25cm),Brown,12,force,Pooh,none,The second hand,Table Tennis,none,none,42,deep thought,1-2-3-4-5,unladen European Swallow is roughly 24 miles an hour,Red pill,Sugar cookies,Cookies and cream,Peppers or Sweet Peppers,Anchovies (fish),JavaScript,Malala Yousafzai,7,water,7,7,10,Somewhat,Mouth down,no,No," the stairs are always faster.""",right,no,yes,no,no,left,right,blue,Omlette,no,good,no,yes,yes,yes,no,no,Shave? Never touch the stuff!,Yes,Ties? Never touch the stuff.,No,Popcorn,5 to 8,Yes., not yet, not yet,I use corrective lenses or contacts,out over the front,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes
